Day,Rainfall (mm),Runoff + Excess (mm),Crop Water Uptake (mm),Soil Moisture (mm),Percolation to Groundwater (mm)
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,5.25,1.05,4.0,0.20000000000000018,0.040000000000000036
9,2.25,0.45,2.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0
12,8.0,1.6,4.0,2.4000000000000004,0.4800000000000001
13,27.0,8.1,4.0,17.299999999999997,3.4599999999999995
14,0.0,0.0,4.0,13.299999999999997,2.6599999999999997
15,0.0,0.0,4.0,9.299999999999997,1.8599999999999994
16,0.0,0.0,4.0,5.299999999999997,1.0599999999999994
17,0.75,0.15000000000000002,4.0,1.8999999999999968,0.3799999999999994
18,0.0,0.0,1.8999999999999968,0.0,0.0
19,0.75,0.15000000000000002,0.6,0.0,0.0
20,1.25,0.25,1.0,0.0,0.0
21,6.5,1.3,4.0,1.2000000000000002,0.24000000000000005
22,43.5,13.049999999999999,4.0,27.650000000000002,5.530000000000001
23,1.0,0.2,4.0,24.450000000000003,4.890000000000001
24,6.75,1.35,4.0,25.85,5.170000000000001
25,0.25,0.05,4.0,22.05,4.41
26,0.0,0.0,4.0,18.05,3.6100000000000003
27,16.75,3.35,4.0,27.450000000000003,5.490000000000001
28,0.25,0.05,4.0,23.650000000000002,4.73
29,0.0,0.0,4.0,19.650000000000002,3.9300000000000006
30,0.5,0.1,4.0,16.05,3.2100000000000004
31,1.75,0.35000000000000003,4.0,13.45,2.69
32,0.0,0.0,4.0,9.45,1.89
33,0.0,0.0,4.0,5.449999999999999,1.0899999999999999
34,2.0,0.4,4.0,3.049999999999999,0.6099999999999999
35,1.25,0.25,4.0,0.049999999999998934,0.009999999999999787
36,0.0,0.0,0.049999999999998934,0.0,0.0
37,10.25,2.0500000000000003,4.0,4.199999999999999,0.8399999999999999
38,22.25,4.45,4.0,18.0,3.6
39,7.75,1.55,4.0,20.2,4.04
40,23.25,4.65,4.0,34.8,6.96
41,16.0,3.2,4.0,43.599999999999994,8.719999999999999
42,1.5,0.30000000000000004,4.0,40.8,8.16
43,9.5,1.9000000000000001,4.0,44.4,8.88
44,1.0,0.2,4.0,41.199999999999996,8.24
45,2.25,0.45,4.0,38.99999999999999,7.799999999999999
46,0.0,0.0,4.0,34.99999999999999,6.999999999999999
47,14.25,2.85,4.0,42.39999999999999,8.479999999999999
48,12.75,2.5500000000000003,4.0,48.599999999999994,9.719999999999999
49,11.75,2.35,4.0,53.99999999999999,10.799999999999999
50,1.75,0.35000000000000003,4.0,51.39999999999999,10.28
51,0.25,0.05,4.0,47.599999999999994,9.52
52,0.5,0.1,4.0,43.99999999999999,8.799999999999999
53,3.25,0.65,4.0,42.599999999999994,8.52
54,6.25,1.25,4.0,43.599999999999994,8.719999999999999
55,0.5,0.1,4.0,39.99999999999999,7.999999999999999
56,3.0,0.6000000000000001,4.0,38.39999999999999,7.679999999999999
