Day,Rainfall (mm),Runoff + Excess (mm),Crop Water Uptake (mm),Soil Moisture (mm),Percolation to Groundwater (mm)
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,5.25,1.05,4.0,0.20000000000000018,0.08000000000000007
9,2.25,0.45,2.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0
12,8.0,1.6,4.0,2.4000000000000004,0.9600000000000002
13,27.0,8.1,4.0,17.299999999999997,6.919999999999999
14,0.0,0.0,4.0,13.299999999999997,5.319999999999999
15,0.0,0.0,4.0,9.299999999999997,3.719999999999999
16,0.0,0.0,4.0,5.299999999999997,2.1199999999999988
17,0.75,0.15000000000000002,4.0,1.8999999999999968,0.7599999999999988
18,0.0,0.0,1.8999999999999968,0.0,0.0
19,0.75,0.15000000000000002,0.6,0.0,0.0
20,1.25,0.25,1.0,0.0,0.0
21,6.5,1.3,4.0,1.2000000000000002,0.4800000000000001
22,43.5,13.049999999999999,4.0,27.650000000000002,11.060000000000002
23,1.0,0.2,4.0,24.450000000000003,9.780000000000001
24,6.75,1.35,4.0,25.85,10.340000000000002
25,0.25,0.05,4.0,22.05,8.82
26,0.0,0.0,4.0,18.05,7.220000000000001
27,16.75,3.35,4.0,27.450000000000003,10.980000000000002
28,0.25,0.05,4.0,23.650000000000002,9.46
29,0.0,0.0,4.0,19.650000000000002,7.860000000000001
30,0.5,0.1,4.0,16.05,6.420000000000001
31,1.75,0.35000000000000003,4.0,13.45,5.38
32,0.0,0.0,4.0,9.45,3.78
33,0.0,0.0,4.0,5.449999999999999,2.1799999999999997
34,2.0,0.4,4.0,3.049999999999999,1.2199999999999998
35,1.25,0.25,4.0,0.049999999999998934,0.019999999999999574
36,0.0,0.0,0.049999999999998934,0.0,0.0
37,10.25,2.0500000000000003,4.0,4.199999999999999,1.6799999999999997
38,22.25,4.45,4.0,18.0,7.2
39,7.75,1.55,4.0,20.2,8.08
40,23.25,4.65,4.0,34.8,13.92
41,16.0,8.799999999999994,4.0,38.0,15.200000000000001
42,1.5,0.30000000000000004,4.0,35.2,14.080000000000002
43,9.5,2.7000000000000046,4.0,38.0,15.200000000000001
44,1.0,0.2,4.0,34.8,13.92
45,2.25,0.45,4.0,32.599999999999994,13.04
46,0.0,0.0,4.0,28.599999999999994,11.439999999999998
47,14.25,2.85,4.0,35.99999999999999,14.399999999999999
48,12.75,6.749999999999989,4.0,38.0,15.200000000000001
49,11.75,7.749999999999998,4.0,38.0,15.200000000000001
50,1.75,0.35000000000000003,4.0,35.4,14.16
51,0.25,0.05,4.0,31.6,12.64
52,0.5,0.1,4.0,28.0,11.200000000000001
53,3.25,0.65,4.0,26.6,10.64
54,6.25,1.25,4.0,27.6,11.040000000000001
55,0.5,0.1,4.0,24.0,9.600000000000001
56,3.0,0.6000000000000001,4.0,22.4,8.959999999999999
57,33.25,13.649999999999997,4.0,38.0,15.200000000000001
58,0.0,0.0,4.0,34.0,13.600000000000001
